Wavelength	As-cast	Co-facial	End-on
880.05762	0.43891	0.1843	0.70577
879.52063	0.44268	0.18624	0.71144
878.98346	0.44681	0.18754	0.72104
878.44617	0.44994	0.18944	0.73251
878.04309	0.4549	0.19092	0.73175
877.50555	0.46024	0.19204	0.74332
876.9679	0.46498	0.1939	0.75214
876.56451	0.47112	0.19516	0.75436
876.02661	0.47253	0.1979	0.76209
875.48859	0.47821	0.19845	0.77294
874.95038	0.48454	0.2014	0.77777
874.54669	0.4883	0.20322	0.78869
874.0083	0.4928	0.20502	0.78928
873.46973	0.49875	0.20691	0.79823
873.06573	0.50365	0.20879	0.81277
872.52692	0.50842	0.2118	0.80807
871.98804	0.51345	0.21392	0.82777
871.44897	0.51728	0.21606	0.82744
871.04462	0.52333	0.21838	0.84726
870.50531	0.52732	0.22052	0.84148
869.96588	0.53352	0.22178	0.85747
869.56122	0.53784	0.22502	0.85265
869.02161	0.54231	0.22788	0.85826
868.48181	0.549	0.2305	0.87974
867.94189	0.55532	0.2326	0.87391
867.53687	0.55922	0.23553	0.8913
866.9967	0.56278	0.23633	0.88926
866.45642	0.56927	0.23965	0.89693
866.05109	0.57404	0.24285	0.89825
865.51056	0.57944	0.24462	0.9167
864.96991	0.58292	0.24849	0.92155
864.56433	0.58913	0.24927	0.91858
864.02344	0.59368	0.25249	0.93247
863.48242	0.60114	0.25391	0.93733
862.94128	0.60261	0.25723	0.94656
862.53534	0.60691	0.25933	0.94033
861.9939	0.61236	0.26116	0.9498
861.45239	0.61924	0.26283	0.95695
861.04614	0.62684	0.26369	0.96358
860.50439	0.62939	0.26778	0.95988
859.96252	0.63738	0.26987	0.96777
859.55603	0.64239	0.2721	0.97628
859.01392	0.64367	0.27336	0.98102
858.47168	0.64728	0.27311	0.98499
858.06488	0.65478	0.27549	1.00294
857.5224	0.65868	0.27807	0.99895
856.9798	0.66461	0.27908	0.99701
856.43707	0.6661	0.28188	1.01172
856.02991	0.67109	0.2828	1.00147
855.48694	0.67916	0.2838	1.00422
854.94379	0.68175	0.28456	1.00329
854.53638	0.68624	0.2874	1.01936
853.99304	0.69021	0.28827	1.00735
853.44959	0.69913	0.28846	1.02176
853.04187	0.69996	0.29076	1.01547
852.49817	0.70194	0.29246	1.03196
851.95435	0.70883	0.29178	1.01755
851.54639	0.71195	0.29303	1.03132
851.00232	0.71163	0.29477	1.01816
850.45813	0.71736	0.29486	1.01628
850.04993	0.7227	0.29557	1.0213
849.50549	0.72073	0.29547	1.03569
848.96094	0.72861	0.29658	1.03096
848.55243	0.73305	0.29707	1.01901
848.00763	0.73711	0.29823	1.02796
847.46277	0.74113	0.29857	1.0264
847.05396	0.74329	0.29829	1.02098
846.50885	0.7433	0.29852	1.01611
845.96356	0.7526	0.2998	1.03356
845.5545	0.74773	0.30025	1.01593
845.00903	0.75494	0.30075	1.00572
844.46338	0.7579	0.30133	1.01395
844.05408	0.76182	0.30231	1.00455
843.50824	0.7656	0.30165	0.99783
842.96222	0.77085	0.302	1.00654
842.55267	0.76648	0.30241	0.99529
842.00647	0.77282	0.30241	0.98848
841.46008	0.77371	0.30354	0.98754
841.05023	0.7769	0.3031	0.99397
840.50366	0.77839	0.30362	0.9755
839.95697	0.78156	0.30293	0.97634
839.54688	0.78539	0.30371	0.9865
838.99994	0.78252	0.30387	0.97887
838.45288	0.78675	0.30324	0.96277
838.04254	0.78767	0.30292	0.96365
